rec_id, given_name, surname, street_number, address_1, address_2, suburb, postcode, state, date_of_birth, age, phone_number, soc_sec_id, blocking_number
rec-5795-org,   charles, humphreys, 98, currie crescent, , doubleview, 2651, vic, 19150721, 26, 08 69458134, 5245778, 1
rec-9997-org,   isabella, campbell, 125, lowanna street, , deniliquin, 4161, nsw, 19960902, 28, 04 52873834, 6700063, 8
rec-2762-dup-2, noble, ethan, 389, buntine crescent, , summer hill, , qld, 19281106, , 03 66348613, 8255484, 8
rec-5269-org,   chloe, conder, 26, postle circuit, , terrigal, 2211, qld, 19181120, 36, 03 12191227, 7887629, 7
rec-1560-org,   jacob, quilliam, 52, orion place, medical centre, vermont, 2176, , 19970117, 23, 02 24710209, 2583915, 3
rec-6841-org,   oliver, shoebridge, 13, twamley crescent, , dianella, 3095, qld, 19110609, 6, 02 23391839, 7126084, 8
rec-4683-org,   sam, hebberman, 82, janga place, , kaleen, 5262, vic, 19310225, 29, 08 75645323, 5435360, 9
rec-3175-org,   liam, nguyen, 2, foxlow close, , tennyson, 6210, wa, , 31, 08 62454680, 8752224, 4
rec-8856-org,   riley, reid, 44, quinn street, , west lakes, 2122, nsw, 19720518, 39, 08 25087086, 3135161, 1
rec-3319-org,   jake, matthews, 15, newman morris circuit, , parkside, 3204, nsw, 19720625, 19, 02 94962191, 6633998, 9
rec-2656-org,   keelin, bishop, 62, , , byford, 2747, qld, 19811117, 28, 02 94346302, 4912592, 0
rec-3624-org,   madeleine, matthews, 15, crawford crescent, studio indigo, albury, 7112, wa, 19350810, , 04 49639558, 4695582, 8
rec-4874-org,   lachlan, burford, , poole place, , quilpie, 4210, vic, 19760603, 44, 02 28501773, 4541628, 5
rec-8620-org,   chloe, sumsion, 36, , , tyabb, 3170, qld, 19400212, 20, 07 81043277, 7033001, 0
rec-3823-org,   sophie, jolly, 1, goessling place, westminster village, allora, 5253, nsw, 19501112, 32, 08 33647974, 2186478, 5
rec-8424-org,   hannah, crofts, 17, arakoon crescent, , kirra, 2790, , 19400408, , 07 78639676, 3645107, 4
rec-8126-org,   arabella, chandler, 27, carroll street, falcon grove shopping centre, cremorne, 2776, sa, 19110401, 35, 02 84346225, 3684937, 5
rec-8264-org,   tara, laverty, 13, magennis place, , camira, 4872, qld, 19680426, 34, 04 91615551, 9035598, 0
rec-8237-org,   james, colquhoun, 1, berrigan crescent, , sherwood, 5011, nsw, 19031026, 21, 02 68343326, 5309974, 9
rec-5881-org,   holly, sundo, 28, yarra street, , prospect, 3183, nsw, 19100707, 41, 08 31068421, 9832298, 4
rec-8948-org,   , white, 38, millen street, , bull creek, 3030, nsw, 19060928, 28, 08 31340863, 7178865, 7
rec-8370-org,   caitlin, rees, 3, langridge street, cottonwood, cairns, 4570, vic, 19770719, 7, 08 66129830, 4655151, 6
rec-6500-org,   bronte, pascale, 19, la perouse street, , cardiff, 4872, nsw, 19600327, 33, 04 04082345, 9082762, 2
rec-7885-org,   caitlin, browne, 6, waller crescent, , towradgi, 3860, sa, 19960418, , 03 99303700, 8699448, 0
rec-9492-dup-2, lara, stanley, 6, ashkanasy crescent, , stephns, 4825, vic, 19740518, , 08 49659300, 4378205, 3
rec-753-org,   riley, edson, 102, dianella street, , edensor park, 4870, nsw, 19700716, 39, 02 02064236, 4551635, 9
rec-8710-org,   noah, clarke, 7, , , burnie, 6021, vic, 19041104, 29, 07 84784006, 3681409, 7
rec-2592-org,   ethan, edgecombe, 121, waller crescent, , duramana, 3136, qld, 19261002, 38, 07 36585385, 3333039, 9
rec-9771-org,   malakai, carbone, 1, carr crescent, , jesmond, 3805, qld, 19140219, , 07 45837546, 7133008, 9
rec-6484-org,   allegra, cochrane, 60, darcy close, , mill park, 2066, nsw, 19881014, , 03 33630050, 3418087, 3
rec-8334-dup-2, bridget, tongw, 13, dumas street, norma, tin cab bay, 4224, qld, 19380802, , 03 18856444, 6405846, 1
rec-2473-org,   abii, ryan, 24, renmark street, , ballina, 3143, vic, , 25, 04 73046098, 8869870, 6
rec-6263-org,   katelyn, robson, 12, souter place, , thornbury, 3046, nsw, 19770721, , , 4424571, 4
rec-1217-org,   elly, mazzone, 29, durack street, parkside mews, hoppers crossing, 3137, qld, , , 07 82006637, 7675443, 8
rec-8382-org,   holly, yen, 43, tillyard drive, willera, taralga, 4066, qld, 19650904, , 04 70306342, 4672100, 2
rec-3916-org,   beau, alves, 30, praed place, , tweed heads, 4670, , 19660222, 33, 03 23315467, 7931167, 3
rec-5365-org,   brock, mccarthy, 114, millhouse crescent, villa 2, cooma, 2614, nsw, 19370528, 25, 03 22563908, 3165671, 4
rec-3915-org,   jade, thorpe, 36, florentine circuit, rydellan, camden, 4740, qld, 19360213, 11, 03 13908888, 4672850, 9
rec-6552-org,   zachary, white, 10, cygnet crescent, , altona north, 2482, vic, 19360411, , 02 32820709, 8444851, 0
rec-4535-org,   jye, jackett, 7, pridham street, brannigans, broken hill, 6108, nsw, 19641127, , 04 46851681, 1742308, 2
rec-2958-org,   alexandra, gierus, 28, chuculba crescent, woodburn pastoral, kaleen, 2291, qld, 19640810, 29, 04 19391851, 2719703, 2
rec-8626-org,   kiara, ryan, 89, hawken street, , cleveland, 5341, nsw, 19121025, 27, 07 02116274, 2107510, 4
rec-1202-org,   taylah, boyes, 61, james smith circuit, , burwood, 4120, , 19690528, 30, 08 00075651, 9357554, 7
rec-4964-org,   joshua, gibb, 21, pennington crescent, , bemboka, 3764, sa, 19060313, 11, 07 53200665, 1222745, 0
rec-1310-org,   james, lomman, 94, watchorn close, , penrith, , nsw, , 27, 08 62381946, 8889315, 4
rec-6977-org,   taylah, green, 69, blackwell circuit, bourne gardns, applecross, 3150, , 19430621, 23, 08 72723719, 6437918, 8
rec-1898-org,   caitlin, bellchambers, 23, leichhardt street, , maryborough, 2204, sa, 19700418, 25, 02 96342265, 8436912, 0
rec-8640-org,   sebastian, mccarthy, , jarrah street, woodbine homestead, westmeadows, 4373, sa, 19380710, 25, 04 96913560, 9367895, 7
rec-7308-org,   beau, stubbs, 179, burkitt street, , rowville, 2519, qld, 19940809, 21, 03 61174805, 6691047, 8
rec-1345-org,   catherine, baugh, 20, bollard street, tourist park, inglewood, 3860, tas, 19651103, 31, 02 10139354, 1206315, 3
rec-6717-org,   katelyn, mahmoud, 458, nanda place, tartan park, woodbury, 3460, tas, , , 03 82618625, 3006444, 5
rec-3127-org,   daniella, hearn, 6, sloane place, , blacktown, 6000, , 19171210, 30, 03 34640257, 8979324, 2
rec-3803-org,   timothy, bishop, 4, ballumbir street, , ballarat, 3064, vic, , , 04 11201804, 8701357, 4
rec-9583-org,   paris, priest, 46, gleadow street, lochadair, devonport, 3550, vic, 19510103, 11, 04 10728746, 6691960, 7
rec-4216-org,   erin, white, 2, woolner circuit, villa 2, ashfield, 2525, wa, 19760328, 33, 08 81183244, 9287067, 8
