rec_id, given_name, surname, street_number, address_1, address_2, suburb, postcode, state, date_of_birth, age, phone_number, soc_sec_id, blocking_number
rec-2178-org,   elizabeth, tarn, 1, jelbart street, , ascot vale, 6155, vic, 19830708, 10, 04 02636451, 3860366, 8
rec-6084-org,   lexie, haren, 15, dunstan street, karami, flemington, 4487, wa, 19550319, 33, 08 05304794, 3623780, 8
rec-4253-org,   claire, fogg, 14, chandler street, , turner, 4818, qld, 19250818, 26, 02 33137763, 6306365, 5
rec-6748-org,   ruby, godfrey, 6, macrossan crescent, , pakenham, 2233, , , 40, 08 39971882, 4360261, 6
rec-3070-org,   abbie, forby, 669, keverstone circuit, , tusmore, 6066, qld, 19030906, 36, 07 13212390, 2966557, 7
rec-6994-org,   jacob, fiorenza, 3, garrick street, the boulevarde, prospect, 2773, nsw, 19950113, 36, 02 80470258, 2507593, 3
rec-348-org,   james, bishop, 108, mcgee place, , montagu bay, 4410, wa, 19251111, 31, 03 71120899, 3461487, 3
rec-2827-org,   rachel, badewitz, 5, william hovell drive, ardess, singleton heights, 4211, vic, 19070702, , 07 90376312, 8039445, 2
rec-4693-org,   brianna, scarce, 189, lubuma place, alblas hostel, toowong, 4075, qld, , 31, 03 66055502, 9927807, 6
rec-7689-org,   ashley, dingo, 18, colvin street, , beenleigh, 4305, wa, 19880925, , 02 06520583, 5698631, 7
rec-9270-org,   connor, bellchambers, 12, bromley street, , caulfield, 2570, nsw, 19760930, , 08 17306981, 5328978, 9
rec-7146-org,   rebekah, white, 9, forbes street, mira monte, ringwood north, 3850, nsw, 19290927, , , 1741184, 9
rec-2635-org,   alison, leung, 165, seaborn place, , cranbourne, 3107, vic, 19850903, 27, 03 10780889, 9801794, 3
rec-1128-org,   , drechsler, 29, miller street, woodbine homestead, christies beach, 2448, qld, 19000629, 31, , 4143872, 3
rec-1672-org,   ryley, milter, 154, millhouse crescent, , woodville south, 2150, qld, 19481012, 26, 03 24015282, 7105735, 7
rec-2983-org,   lexie, shepherd, 69, box hill avenue, weeroona, gorokan, 4034, nsw, , 10, 08 71670968, 9817711, 8
rec-8821-org,   brayden, cornioley, 48, altson circuit, aldersyde estate, , 2256, qld, 19690127, 27, 04 64446381, 7686747, 7
